序號,名稱,時間,老師
A9-046,音樂舞蹈戲劇,[2]3~4,林怡薇
A9-047,音樂舞蹈戲劇,[2]5~6,林怡薇
A9-048,西方古典音樂,[3]3~4,林怡薇
A9-049,西方古典音樂,[3]5~6,林怡薇
A9-319,科技與國防,[3]1~2,郭文良
A9-320,科技與國防,[3]3~4,郭文良
A9-108,社會與電影,[4]3~4,王金壽
A9-309,工程概論,[2]5~6,"林睿哲*,常正之"
A9-310,工程概論,[3]3~4,"林睿哲*,常正之"
A9-016,女性文學選讀,[3]3~4,賴麗娟
A9-017,女性文學選讀,[4]3~4,賴麗娟
A9-207,生物多樣性,[1]7~8,"麥愛堂*,蔣鎮宇,李亞夫,邱慈暉,陳一菁,仲澤剛史,許祐薰,吳文鑾,楊永年"
A9-105,心理學,[1]7~8,林君昱
A9-315,應用電學,[2]7~8,張凌昇
A9-209,情緒與壓力管理,[1]7~8,鄭淑惠
A9-217,動物寄生蟲與生活,[4]5~6,"辛致煒*,林威辰"
A9-106,心理學,[4]3~4,周麗芳
A9-219,醫學與健康,[1]5~6,"張金石*,陳育堂,楊宜杰"
A9-218,家庭與健康,[4]5~6,張文芸
A9-222,運動與健康,[2]3~4,林麗娟
A9-004,戲劇與電影,[3]5~6,陳佳彬
A9-107,創意思考,[1]7~8,梁文韜
A9-201,中藥與健康,[5]7~8,吳天賞
A9-216,急難救助,[2]5~6,"紀志賢*,林志豪,施欣怡,李忠勳,洪明原,莊佳璋,徐祥清,謝至嘉,馬宜君,高嘉隆"
A9-037,客家文化導論,[4]3~4,林裕城
A9-005,戲劇與小說,[3]7~8,陳佳彬
A9-316,火,[1]7~8,林大惠
A9-103,法學緒論,[5]1~2,蔡文斌
A9-204,職能治療與健康,[2]5~6,"黃雅淑*,汪翠瀅,徐秀雲,郭立杰,張雁晴,古佳苓,陳郁婷,黃意婷"
A9-311,界面化學的生活應用,[2]5~6,陳炳宏
A9-431,"環境,職業與健康人生",[3]3~4,郭耀昌
A9-212,食品安全與衛生,[1]5~6,"廖寶琦*,陳健生"
A9-001,流行樂賞析與實務,[3]5~6,楊金峯
A9-002,音樂文化導引,[2]3~4,楊金峯
A9-206,與婦產科醫師的對話,[1]7~8,劉明道
A9-414,諾貝爾生醫獎得主所改變的世界,[4]5~6,"洪良宜*,王涵青,張純純,劉宗霖,洪建中,曾大千,林鼎晏,羅玉枝,郭瑋君,呂曉沛,許觀達,陳盈嵐,陳炳焜"
A9-113,家庭關係,[2]5~6,鄭淑惠
A9-304,應用化學與實驗,[1]7~8,謝慕道
A9-305,應用化學與實驗,[4]5~6,謝慕道
A9-416,無障礙智慧生活環境,[4]5~6,洪菁霞
A9-038,基督思想,[2]5~6,徐德修
A9-018,臺灣古典文學,[4]5~6,賴麗娟
A9-114,應用統計,[2]5~6,鄭碧娥
A9-039,藝術叩門,[3]7~8,"楊佳翰*,陳璽任,陳明惠"
A9-208,生命科學概論,[5]5~6,"許祐薰*,蔣鎮宇,宋皇模,何盧勳,廖泓鈞,劉雅心,邱慈暉,陳一菁,李純純,仲澤剛史,彭怡禎,大林祝,蔡文杰,李瑞花"
A9-050,敘事取向的全人生涯發展,[2]3~4,李貽峻
A9-111,性別關係,[2]1~2,"陸偉明*,梁秋虹"
A9-044,倫理學,[2]3~4,葉海煙
A9-417,從創意發明到專利保護,[1]7~8,張桂豪
A9-115,社會學概論,[3]3~4,李承機
A9-205,疾病媒介,[1]7~8,林威辰
A9-423,科技與生命價值,[5]3~4,"張書銓*,鄭淑惠,賴麗娟,王建力,方冠榮,洪郁修,邵揮洲,蔡美玲"
A9-042,韓語與韓國文化,[3]5~6,尹遠菱
A9-054,音樂欣賞,[2]5~6,曾士珍
A9-055,音樂與旅行,[2]7~8,曾士珍
A9-307,環境污染與防治,[4]5~6,周佩欣
A9-321,運動與科學,[3]3~4,邱宏達
A9-010,傳統戲曲與表演藝術,[3]7~8,馬薇茜
A9-059,越南社會與文化,[4]3~4,蔣為文
A9-120,潛能開發-魅力學,[3]3~4,鄭匡佑
A9-215,基因改造食品的好與壞,[3]3~4,邱啟洲
A9-306,環境污染與防治,[2]5~6,王鴻博
A9-030,日本的歷史文化與藝術,[1]7~8,顧盼
A9-211,基因改造食品的好與壞,[1]5~6,邱啟洲
